sensor_id,timestamp,temperature_c,humidity_pct,pressure_hpa
sensor-000,1700000015,24.19,58.0,1011.5
sensor-001,1700000015,22.75,41.1,1015.2
sensor-002,1700000015,20.42,53.4,1010.3
sensor-003,1700000015,21.54,47.9,1013.1
sensor-004,1700000015,23.18,56.0,1015.8
sensor-005,1700000015,23.63,53.2,1014.7
sensor-006,1700000015,20.28,46.6,1013.1
sensor-007,1700000015,24.53,48.9,1013.4
sensor-000,1700000030,24.18,57.9,1012.3
sensor-001,1700000030,22.75,41.1,1009.9
sensor-002,1700000030,20.46,53.5,1009.9
sensor-003,1700000030,21.48,47.8,1014.2
sensor-004,1700000030,23.13,56.3,1014.2
sensor-005,1700000030,23.61,53.0,1011.1
sensor-006,1700000030,20.37,46.5,1010.6
sensor-007,1700000030,24.61,48.8,1016.2
sensor-000,1700000045,24.11,57.9,1013.8
sensor-001,1700000045,22.68,41.2,1015.2
sensor-002,1700000045,20.42,53.3,1015.8
sensor-003,1700000045,21.38,47.6,1015.5
sensor-004,1700000045,23.15,56.2,1015.7
sensor-005,1700000045,23.51,52.8,1013.3
sensor-006,1700000045,20.41,46.6,1010.5
sensor-007,1700000045,24.65,48.7,1015.5
sensor-000,1700000060,24.11,57.8,1009.6
sensor-001,1700000060,22.60,41.0,1014.1
sensor-002,1700000060,20.42,53.2,1011.1
sensor-003,1700000060,21.37,47.4,1013.9
sensor-004,1700000060,23.09,56.4,1009.2
sensor-005,1700000060,23.53,52.7,1016.0
sensor-006,1700000060,20.39,46.5,1014.9
sensor-007,1700000060,24.62,48.6,1011.8
sensor-000,1700000075,24.15,57.7,1016.7
sensor-001,1700000075,22.51,41.0,1009.3
sensor-002,1700000075,20.49,53.0,1011.8
sensor-003,1700000075,21.40,47.5,1012.1
sensor-004,1700000075,23.00,56.2,1012.8
sensor-005,1700000075,23.61,52.5,1014.1
sensor-006,1700000075,20.45,46.3,1015.7
sensor-007,1700000075,24.72,48.9,1014.4
sensor-000,1700000090,24.10,57.6,1014.5
sensor-001,1700000090,22.45,41.2,1014.3
sensor-002,1700000090,20.42,52.8,1014.0
sensor-003,1700000090,21.49,47.2,1016.8
sensor-004,1700000090,22.91,56.3,1014.0
sensor-005,1700000090,23.59,52.6,1016.6
sensor-006,1700000090,20.46,46.4,1012.0
sensor-007,1700000090,24.75,49.1,1013.6
sensor-000,1700000105,24.11,57.4,1011.5
sensor-001,1700000105,22.37,40.9,1011.7
sensor-002,1700000105,20.37,52.8,1013.8
sensor-003,1700000105,21.47,47.0,1015.0
sensor-004,1700000105,22.88,56.5,1011.5
sensor-005,1700000105,23.62,52.7,1009.7
sensor-006,1700000105,20.56,46.5,1010.0
sensor-007,1700000105,24.80,49.3,1015.3
sensor-000,1700000120,24.17,57.1,1016.8
sensor-001,1700000120,22.28,41.0,1015.1
sensor-002,1700000120,20.37,52.9,1010.7
sensor-003,1700000120,21.48,47.2,1014.2
sensor-004,1700000120,22.93,56.5,1009.5
sensor-005,1700000120,23.55,52.9,1014.3
sensor-006,1700000120,20.55,46.5,1012.0
sensor-007,1700000120,24.82,49.5,1013.4
sensor-000,1700000135,24.18,57.4,1009.3
sensor-001,1700000135,22.27,41.0,1010.7
sensor-002,1700000135,20.36,52.8,1010.1
sensor-003,1700000135,21.50,47.4,1010.3
sensor-004,1700000135,22.97,56.5,1011.9
sensor-005,1700000135,23.55,53.1,1011.7
sensor-006,1700000135,20.54,46.6,1010.4
sensor-007,1700000135,24.91,49.8,1009.8
sensor-000,1700000150,24.21,57.1,1010.6
sensor-001,1700000150,22.17,40.8,1016.8
sensor-002,1700000150,20.41,53.0,1016.6
sensor-003,1700000150,21.59,47.3,1015.6
sensor-004,1700000150,22.99,56.4,1013.3
sensor-005,1700000150,23.45,53.2,1012.6
sensor-006,1700000150,20.48,46.6,1010.2
sensor-007,1700000150,24.86,50.0,1012.0
sensor-000,1700000165,24.25,57.4,1013.8
sensor-001,1700000165,22.17,40.8,1012.0
sensor-002,1700000165,20.34,52.8,1012.0
sensor-003,1700000165,21.61,47.5,1016.7
sensor-004,1700000165,22.92,56.6,1015.1
sensor-005,1700000165,23.54,53.1,1015.7
sensor-006,1700000165,20.47,46.6,1010.6
sensor-007,1700000165,24.81,49.9,1011.0
sensor-000,1700000180,24.34,57.4,1011.9
sensor-001,1700000180,22.24,40.9,1015.2
sensor-002,1700000180,20.42,52.7,1010.9
sensor-003,1700000180,21.56,47.6,1011.2
sensor-004,1700000180,22.90,56.9,1014.8
sensor-005,1700000180,23.48,53.3,1016.0
sensor-006,1700000180,20.37,46.4,1010.0
sensor-007,1700000180,24.77,49.7,1016.5
sensor-000,1700000195,24.42,57.2,1016.0
sensor-001,1700000195,22.20,41.2,1009.6
sensor-002,1700000195,20.51,52.7,1014.5
sensor-003,1700000195,21.59,47.9,1010.3
sensor-004,1700000195,22.90,56.9,1012.8
sensor-005,1700000195,23.54,53.5,1013.5
sensor-006,1700000195,20.46,46.1,1010.4
sensor-007,1700000195,24.74,49.4,1011.9
sensor-000,1700000210,24.44,56.9,1013.6
sensor-001,1700000210,22.14,41.1,1009.9
sensor-002,1700000210,20.46,52.9,1016.1
sensor-003,1700000210,21.62,47.7,1015.5
sensor-004,1700000210,22.82,57.0,1009.7
sensor-005,1700000210,23.51,53.4,1010.7
sensor-006,1700000210,20.39,46.4,1011.4
sensor-007,1700000210,24.67,49.3,1012.9
sensor-000,1700000225,24.53,57.1,1011.6
sensor-001,1700000225,22.20,41.1,1010.9
sensor-002,1700000225,20.36,53.1,1011.8
sensor-003,1700000225,21.72,47.7,1014.2
sensor-004,1700000225,22.90,57.0,1009.7
sensor-005,1700000225,23.50,53.2,1011.5
sensor-006,1700000225,20.45,46.3,1015.3
sensor-007,1700000225,24.58,49.3,1012.0
sensor-000,1700000240,24.47,56.9,1014.8
sensor-001,1700000240,22.18,40.8,1009.9
sensor-002,1700000240,20.38,52.9,1009.5
sensor-003,1700000240,21.73,47.6,1016.9
sensor-004,1700000240,22.95,57.0,1014.8
sensor-005,1700000240,23.51,53.3,1011.7
sensor-006,1700000240,20.43,46.3,1013.1
sensor-007,1700000240,24.54,49.3,1016.3
sensor-000,1700000255,24.47,57.0,1009.7
sensor-001,1700000255,22.15,40.8,1013.9
sensor-002,1700000255,20.32,52.9,1013.7
sensor-003,1700000255,21.63,47.6,1012.8
sensor-004,1700000255,23.03,57.0,1010.9
sensor-005,1700000255,23.44,53.4,1014.9
sensor-006,1700000255,20.38,46.2,1015.8
sensor-007,1700000255,24.51,49.2,1012.4
sensor-000,1700000270,24.50,56.7,1009.7
sensor-001,1700000270,22.22,40.9,1011.7
sensor-002,1700000270,20.36,52.9,1010.7
sensor-003,1700000270,21.63,47.8,1016.2
sensor-004,1700000270,23.08,57.0,1014.8
sensor-005,1700000270,23.54,53.7,1014.6
sensor-006,1700000270,20.35,46.3,1012.0
sensor-007,1700000270,24.46,49.4,1016.5
sensor-000,1700000285,24.54,57.0,1010.7
sensor-001,1700000285,22.25,40.7,1011.3
sensor-002,1700000285,20.41,52.8,1013.0
sensor-003,1700000285,21.69,47.8,1012.4
sensor-004,1700000285,23.14,56.9,1015.7
sensor-005,1700000285,23.55,53.8,1011.9
sensor-006,1700000285,20.25,46.3,1011.8
sensor-007,1700000285,24.47,49.2,1011.0
sensor-000,1700000300,24.47,56.7,1009.0
sensor-001,1700000300,22.32,40.5,1012.1
sensor-002,1700000300,20.37,52.7,1013.8
sensor-003,1700000300,21.77,47.8,1010.4
sensor-004,1700000300,23.20,57.2,1010.2
sensor-005,1700000300,23.58,53.5,1010.5
sensor-006,1700000300,20.31,46.4,1009.6
sensor-007,1700000300,24.43,49.0,1014.3
sensor-000,1700000315,24.40,56.8,1015.8
sensor-001,1700000315,22.27,40.3,1014.3
sensor-002,1700000315,20.29,52.4,1010.3
sensor-003,1700000315,21.79,48.1,1010.5
sensor-004,1700000315,23.27,57.0,1010.0
sensor-005,1700000315,23.54,53.3,1010.0
sensor-006,1700000315,20.24,46.4,1009.3
sensor-007,1700000315,24.34,49.1,1013.3
sensor-000,1700000330,24.45,56.9,1015.8
sensor-001,1700000330,22.17,40.1,1015.9
sensor-002,1700000330,20.37,52.3,1010.9
sensor-003,1700000330,21.79,47.9,1010.5
